id	title	abstract	label	actual
11	我国新研制燃料电池实现全产业链自主化应用前景可观	国家电投集团氢能科技发展有限公司的科研团队研制了一款完全自主化的燃料电池。这款燃料电池涵盖了从催化剂到电堆组装等全产业链的技术，并在多个关键指标上达到全球领先水平。其新型非不锈钢金属双极板在厚度、导电性和耐腐蚀性方面均处于世界前列。该燃料电池的功率密度超过30千瓦升，耐久性能预计超过10000小时，铂用量少于30克。自主研发的技术和低成本优势将有助于燃料电池在中国的大规模应用和产业化。	自媒体	1
12	规模化制备高度集成微型超级电容器研究获进展	分布式能源系统具备高效、环保、经济、可靠和灵活等优势，能够实现清洁能源的就地利用和消纳，具有显著的节能减排意义。它不仅能降低电力负荷波动对大电网的影响，还能减少停电事故对用户的影响，对于能源供应困难的边防海岛等地区，多能源互补的分布式能源系统是解决能源保障问题的重要手段。中国科学院工程热物理研究所的研究团队在多能互补分布式供能系统方面取得了一系列重要成果，包括：1. **技术研究**：开发了太阳能与清洁燃料热化学互补系统的高效集成技术，研究了中低温太阳能热化学转化的分布式供能系统，优化了太阳能热化学吸收反应器的运行性能。2. **富氢燃料技术**：开展了富氢燃料发电技术研究，提高了太阳能燃料动力发电的安全性和可靠性。3. **余热回收**：提出了基于化学回热的高效余热回收形式，减少了余热回收过程中的不可逆损失。4. **储能与调控**：构建了储能与系统变工况调控模型，优化了双储能单元的调控及互补运行策略。研究团队在实验平台上验证了相关模型和调控策略的有效性，实现了太阳能净发电效率超过20%，系统能源利用率达到80%以上。这些技术突破了太阳能低密度、间歇性和不稳定的缺点，攻克了动力余热回收和变工况调控的难题，形成了具有自主知识产权的太阳能热化学分布式供能集成方法，获得了20余项国际和国家发明专利及中国优秀专利奖，并发表了多篇高质量学术论文。	自媒体	1
13	东华大学研究团队研发出“可发电”的服装材料	兰州大学彭尚龙教授团队的研究利用新型电荷选择性材料改性硅纳米结构，优化了太阳能电池的转换效率，并降低了成本。他们采用新材料和技术，如还原氧化石墨烯提高导电性和光吸收能力，使用氧化锌作为电子选择性材料等，使太阳能电池的转换效率超过15%。这些改进解决了传统硅基太阳能电池在材料性能和成本上的限制，为未来的大规模应用提供了新的可能性。相关成果已发表于《纳米能源》期刊。	自媒体	1
14	兰州大学新研究提升太阳能电池转换效率	中国科学院大连化学物理研究所的吴忠帅团队与包信和及成会明团队合作，开发了一种新型石墨烯基平面微型超级电容器，通过丝网印刷技术实现了高电压、高集成度和柔性化的储能器件。该技术简化了制作流程，提升了器件整体性和机械柔韧性，并允许根据需求调控器件形状、大小及电压、电流输出。研究显示，石墨烯导电油墨不仅用作导电连接体，还可作为电极材料，提供高性能和广泛的应用前景。	自媒体	1
15	大湾区首座“近零能耗”变电站建成投用	1月8日，江苏省首个农民住宅小区连片屋顶光伏发电项目在连云港市东海县青湖镇青南村并入国家电网并正式开始发电。该项目由江苏省经信委投资建设，为129户居民安装了1556块多晶硅太阳能组件，采用自发自用、余电上网的方式。预计年发电量可达3933万千瓦时，其中80%用于居民使用，20%由国家电网公司收购。该项目每年可节省标准煤128吨，减少二氧化碳排放341吨。	自媒体	1
16	南开大学创下有机太阳能转换效率17.3%的新纪录	西藏阿里措勤县的微电网示范电站近日投入运营，是一个可再生能源多能互补系统，涉及水电、光伏、风电、柴油发电及储能设备。电站位于海拔4800米的高海拔地区，标志着阳光电源在设备可靠性和虚拟同步发电（VSG）技术方面的突破。储能变流器SC500和储能电池在项目中扮演关键角色，提升了电能质量和稳定性。该项目为多能源接入微电网的应用提供了重要参考。	自媒体	1
17	微电网加快智能化示范	华电国电南自上能新特变压器有限公司研制的首台330kV自耦三相油浸变压器成功通过了所有例行和型式试验，特别是在局部放电测试中达到了国际先进水平。自2011年起，该公司在集团支持下完成了110kV、220kV、330kV变压器的生产，特别针对330kV产品进行了关键点诊断和优化，确保了优良的局部放电控制。此成果标志着公司在超高压变压器的设计、生产和试验方面具备了强大能力，为未来更高电压和更大容量变压器的生产奠定了基础。	自媒体	1
18	江苏首个“光伏发电村”正式并网发电	布连电厂1号机组于1月31日晚8时顺利完成168小时试运行，标志着国电智深公司DCS系统在大型火力发电机组中的应用取得突破。该机组采用了全辅机单列设计，提高了性能，并具备FCBfastcutback功能保证可靠性。系统由国电科环智深公司提供，经过多次优化和调试，自动保护仪表投入率达到100%。	自媒体	1
19	辽宁电网首座全光纤互感器变电站试运行	1月5日，辽宁电网首座220千伏全光纤互感器变电站——南环变电站在盘锦市大洼县建成并开始试验运行。该变电站采用了国内最新型光学互感器技术和低碳环保智能设备，通过数字化平台实现自动电网调度、视频监控、安全防护等功能。南环变电站的投运标志着辽宁省智能电网建设取得重大进展，为未来全光纤互感器的实验奠定了基础。	自媒体	1
20	四川首家500千伏变电站机器人巡检应用研究通过验收	2024年9月13日，北京昌平区未来科技城启动了“主动配电网关键技术研究及示范项目”。该项目由国网北京市电力公司主导，是国家863计划下的能源智能电网领域的重大项目。其目标是建设一个能够满足智慧城市需求的坚强智能电网。主动配电网是智能电网的前沿技术，具有分布式能源、主动控制和运行能力。该项目将研究主动配电网的规划、运行、决策等关键技术，建立相关的试验平台和系统，制定一体化系列标准和技术体系，最终实现示范效应。项目还将提升电网的态势感知能力、优化电能品质控制，并提高能源利用效率。项目规划以未来科技城供电区域为示范，涵盖冷热电联供、生物质、光伏、风电、储能和电动汽车充换电站等。实施后，电网将具备更高的安全性、可靠性和互动性，供电可靠性达到99.9999%，供电电压合格率超过99%。此外，该项目还支持大量分布式电源的接入，能够实现能量互动。主动配电网技术的发展代表了智能配电网技术的高级阶段，目前相关研究多集中在传统配电网，而主动配电网下的技术仍在探索中。	自媒体	1
21	国电智深DCS系统应用于首个辅机单列660MW机组	四川省电力公司检修公司开发的智能巡检机器人技术在500kV德阳换流站和500kV尖山变电站通过了专家组验收。这一技术集成了机电一体化、多传感器融合、导航定位及物联网等先进技术，实现了自动或人工巡检、图像巡视、异常报警等功能。项目提高了巡检自动化水平，降低了劳动强度，提升了运维效率。专家组建议将该系统推广应用到其他变电站。	自媒体	1
22	阳光电源500kW储能变流器成功应用于高原微电网示范工程	江苏电科院的生产科研楼改造后成为国内首个光储直柔电力用房零碳建筑，实现了用能自给自足，并将能效提升了41%。该建筑结合了光伏发电、储能和直流配电技术，配备了115千瓦的光伏系统和150千瓦时的储能装置，每年发电11万千瓦时，满足建筑年用电需求并向电网输送多余电能。其柔性用能和电网互动能力使建筑能够根据电网需求调整运行模式，包括绿电消纳、友好互动和孤网自治模式，促进了清洁能源的高效利用，支持双碳目标的实现。	自媒体	1
23	华电国电南自首台330kV变压器研制成功	截至目前，中国岛屿微电网领域的一个典范是江苏省灌云县开山岛的微电网系统。该系统自今年6月18日投入运行，累计发电量超过36万千瓦时，已经稳定运行超过100天。开山岛的微电网包括110千瓦的光伏发电机组和30千瓦的风电机组，在正常情况下，能够满足岛上用电需求。极端天气情况下，660千瓦时储能设备和50千瓦备用柴油发电机可保证岛上三天的用电需求，同时海水淡化设备能日产近10吨水，满足岛上用水需求。开山岛微电网是国家电网有限公司为解决岛上用电问题而建设的离网型智能微电网系统。我国已建成多个类似项目，如山东长岛、广东珠海等，既有并网型也有离网型微电网。这些微电网项目提高了海岛供电的可靠性和解决了水资源问题。此外，江苏连岛也进行了能源综合服务示范岛建设，通过引入风光波浪等可再生能源设备，并进行配电自动化改造，显著提升了供电系统的故障自愈能力，缩短了故障处理时间。微电网在解决偏远地区的供电问题方面具有广阔的市场前景，尤其是在大电网覆盖不到的地方，微电网能通过清洁能源和储能技术提供可靠的电力供应，并且在大电网出现故障时还能独立运行，保证供电安全。	自媒体	1
24	国内首个光储直柔电力用房零碳建筑在江苏院落成	MW级飞轮储能关键技术研究项目的示范工程近日在二连浩特市成功并网。该项目由中海油新能源等单位主导，结合飞轮储能和锂电池形成混合储能系统，为风电场提供调频辅助服务。飞轮储能技术具有高响应速度和长寿命的优点，有助于解决新能源发电的间歇性问题。项目从2020年启动，研究涵盖多个学科，取得了包括24项发明专利在内的创新成果。这一技术有助于提升电网稳定性并促进新能源的利用。	自媒体	1
25	沃太能源携手小红书生态营地构建“多场景光储电站”！	沃太能源与小红书生态营地合作，在湖州市安吉县的小杭坑露营地推出绿色新能源智慧解决方案，成为官方绿色能源合作伙伴。该项目使用了10kW82kWh的SMILET10HV储能系统、光伏板和便携式储能电源，解决了露营地用电不足的问题。智慧云平台还提供了在线监控和智能管理功能。这一合作展示了光伏储能在解决偏远地区用电问题上的潜力，并改善了传统露营模式，带来了环保、绿色的用电体验。	自媒体	1
26	云南富宁500KV换流站工程使采用世界领先无功补偿技术	500KV富宁换流站的建设工程项目副经理张腾昆表示，项目建成后，输电规模为3000兆瓦，每小时供电量可达300万度。项目位于富宁县里达镇，占地376亩，投资约27亿元，是观音岩水电站送出工程的一部分，也是国内首个省内直流输电线路工程。该工程将引入最新技术静止同步补偿器（STATCOM）以进行动态无功补偿，预计于明年6月30日前完成建设。	自媒体	1
27	“MW级飞轮储能关键技术研究”项目示范工程成功并网	有机太阳能电池的转换效率近年来取得了显著进步。4月份，美国密歇根大学的科研团队突破了15%的效率纪录，而中国南开大学的团队近日将效率提升至17.3%，并认为有望突破20%。有机太阳能电池的优势包括制造成本低、材料柔软且可挠曲，未来可能集成到衣物、窗户或汽车上。然而，它们目前存在转换效率低和稳定性差的问题，尚未完全商业化。与传统硅晶太阳能电池相比，有机太阳能电池的商业化潜力较大，尤其是其成本优势显著。南开大学的研究通过串联不同的有机材料层，提高了电池的光吸收范围和转换效率，同时对电池寿命进行了初步测试。研究团队预计，如果进一步优化，有机太阳能电池的转换效率可以超过20%。陈永胜教授认为，该技术距离商业化不远，甚至可能在五年内实现。相关研究已发表在《Science》杂志上。	自媒体	1
28	2号机组首次并网一次成功！杨伙盘煤电项目实现双机并网发电	重庆两江新区首个超级充电宝——两江龙盛储能电站已顺利接入电网并开始带电运行。该电站位于鱼复工业开发区，储能容量为100MW/200MWh，计划扩建至200MW/400MWh，总投资约4亿元。项目通过110千伏电缆接入市北电网，未来将为电网调峰和绿色发展提供支持，每天可提供约100MWh的错峰电量，相当于满足1万户家庭的用电需求。项目预计于2023年8月正式投产。	自媒体	1
29	直击运维痛点，尚特杰的光伏电站智能化之道	5月6日21时33分，杨伙盘煤电公司2号机组成功并网，实现了双机并网，标志着陕北湖北800kV特高压直流输电工程的重要配套电源点的建设取得重大阶段性胜利。该项目采用了全球首例自然通风直接空冷系统NDC660MW燃煤机组，具备环保、高效、经济性能先进等特点。1号机组自2023年2月15日投产，2号机组在4月6日和5月4日分别成功点火和冲转，最终于5月6日成功并网。目前，2号机组运行状态良好，项目将为能源保供提供重要保障。	自媒体	1
30	重庆两江新区首个“超级充电宝”成功带电	国电集团江苏泰州电厂的二次再热机组在DCS系统的实时控制下实现了安全高效运行。该系统由北京国电智深公司研发，突破了多个关键技术难题，并拥有自主知识产权。泰州电厂的三号机组在168小时满负荷试运行中表现出色，发电效率和环境指标均创下世界之最。DCS系统被称为机组的“大脑”，能显著提高自动化水平和安全性。国电智深的EDPF系列DCS系统目前在火电、水电、核电等领域广泛应用，打破了国外技术垄断，为我国重大技术装备提供了核心支持。	自媒体	1
31	国电智深自主研发DCS系统引领世界水平	500千伏明月山变电站在重庆市渝北区，通过引入自主巡检模式，提升了变电站的巡检效率和质量。该变电站是重庆电网第4座500千伏智能变电站，负责重庆两江新区和渝北区的供电。主要信息包括：1. **自主巡检系统**：采用了固定式无人机自动机巢，实现了无人机由人工操作向远程智能自主模式的转变。2. **系统功能**：具备自动存储数据、自主飞行、自动电能补充和智能数据分析等功能。3. **设备**：无人机和智能巡检机器人（具备高清摄像机、红外线测温等功能）联合执行陆空一体化巡检。4. **优势**：系统能够快速适应、数据采集准确，能够有效发现设备运行异常和缺陷，为电网稳定供电提供了技术保障。	自媒体	1
32	“南宁一号”TBM在南宁抽水蓄能电站首次应用	**液态太阳项目落地兰州新区**液态太阳项目是一项利用太阳能等可再生能源生产绿色氢能，并通过二氧化碳加氢合成绿色甲醇的技术。该项目在兰州新区落地，并由兰州新区石化产业投资集团有限公司总经理姜锦介绍。项目位于兰州新区的绿色化工园区，具有良好的自然环境和化工产业发展优势。该示范项目由中国科学院大连化学物理研究所李灿院士主导，是全球首个千吨级绿色甲醇合成装置。项目包括太阳能光伏发电、氢气电解、水电解制氢和二氧化碳加氢合成甲醇等技术单元，总功率10兆瓦，总投资约14亿元，其中光伏发电部分投资5000万元。项目对推动可再生能源发展、缓解能源安全问题及改善全球生态平衡具有重要意义。兰州新区自2010年经济总值增长显著，从不足5亿元增长到2020年的236亿元，显示出强劲的经济发展势头。	自媒体	1
33	重庆：“陆空一体”智能巡检助力度夏电网安全	该文本介绍了尚特杰电力科技在光伏电站运维领域的创新解决方案。其无人工操作的智能机库和无人机系统可以自动完成光伏区域的巡检，包括自动换电池和设备协作。地面上，智洁C60光伏自动驾驶清扫机器人通过视觉导航技术自动清扫光伏组件。尚特杰还推出了智能融合诊断系统，结合IV诊断与无人机技术，提升故障识别精准度。公司还提供集中式和分布式的数智化整体解决方案，针对不同电站的需求进行优化。整体目标是通过技术创新提高运维效率，降低成本，并实现光伏电站的高质量发展。	自媒体	1
34	“人造太阳”心脏安装第一阶段成功	4月25日，四川成都东安湖体育公园的国家电网智慧保电前线指挥所通过成都大运智慧保电系统实时监控大运会主场馆的电力线路和设备数据。系统整合了成都市主网数字模型和枢纽变电站运行数据，实现了全域可视化和全面指挥。配备了智能监测终端、机器人和无人机，系统提高了抢修效率和资源调配能力，缩短了应急响应时间。未来，系统将扩展数据监测范围，进一步提升供电保障能力。	自媒体	1
35	“液态太阳”项目落地兰州新区发展“底色”更绿	南宁一号TBM在南宁抽水蓄能电站的首次应用标志着华南地区抽水蓄能工程的机械化和智能化水平大幅提升。这种全断面隧道掘进机（TBM）是目前最先进的隧洞施工装备之一，能够以传统钻爆法的4倍速度掘进，并且具备全自动化的开挖和支护功能。南宁一号TBM全长52米，重约220吨，开挖直径3.5米，最小转弯半径仅30米。它将在南宁抽水蓄能电站中承担5099米厂房自流排水洞的掘进任务，每月开挖速度达到350米至500米。南宁抽水蓄能电站是“十四五”规划中的重大工程，总装机容量120万千瓦，总投资约80亿元，计划于2025年投产。该电站将显著提升广西电网的调节能力，保障电力安全供应，并推动北部湾城市群与粤港澳大湾区的两湾联动。	自媒体	1
36	江苏试点应用“电碳表”	10日，国网青海电科院完成的偏远地区全清洁能源多能供给技术及示范项目获得国际领先水平评价。这一突破对促进清洁能源综合利用和实现双碳目标具有重要意义。该项目历时4年，解决了偏远地区供暖成本高、环境恶劣等问题，通过示范工程验证了全清洁能源系统的有效性，并推广至多个地区，取得了显著的社会、环保和经济效益。	自媒体	1
37	四川成都大运智慧保电系统建成	江苏昆山天洋新材料有限公司的配电房安装了一块电碳表，显示其用电量为51300千瓦时，碳排放量为29吨。这是江苏首个基于国网智能物联电表架构的电碳表项目，能够实时精准测量电力生产、传输和消费全环节的碳排放量。该电碳表通过采集电气数据并计算碳排放因子，提供科学的减排建议。苏州目前在试点应用9块电碳表，未来将实现碳排放数据的大数据管理和可视化。	自媒体	1
38	云南首个县区级10千伏配网故障自愈环全覆盖	**人造太阳心脏安装第一阶段成功**- **时间与地点**: 2021年10月27日，法国- **主要事件**: 国际热核聚变反应堆组织ITER宣布TAC1联合体团队成功完成主机安装的第一阶段任务，为吊装真空容器做好了准备。- **重要性**: 这是国际核能合作的重大成就，标志着核聚变技术向实际应用迈出了重要一步。- **参与单位**: 中核集团、中国核电工程有限公司、核工业西南物理研究院、中国核工业二三建设有限公司、中科院等离子体物理研究所、法国法马通公司等。- **TAC1工程**: ITER托卡马克装置核心设备的安装工程，重要性类似于核电站的反应堆心脏，涉及超导磁体和馈线系统的安装。- **技术挑战**: 包括大尺寸部件吊装、高真空/超高真空部件安装、超导部件安装和连接等。- **合作与支持**: TAC1联合体在中核集团的协调与支持下，克服了技术和疫情等困难，成功完成了多个重要设备的安装任务。责任编辑: 赵雅君	自媒体	1
39	中国“偏远地区全清洁能源多能供给”领域取得重大突破	青海送变电工程有限公司于12日圆满完成了武汉南昌1000千伏特高压交流线路工程的跨越800千伏锦苏线架线施工。这是继4月完成跨越复奉线后的第二次特高压线路施工。工程从武汉1000千伏交流变电站起，终至南昌1000千伏交流变电站，全长24566千米。施工采用同塔双回钢管塔和停电搭设索桥的方式，并通过集控可视化牵张设备提高了施工效率和安全性。此项目将优化华中区域电网结构，支持绿色能源接入和经济发展。	自媒体	1
40	10千伏磁偏置超导限流器实现挂网示范应用	18日，葛洲坝至上海的超高压直流输电工程完成改造并投入运行。这是我国首条500千伏超高压直流输电工程，已累计输送电量1800亿千瓦时。此次改造更新了老旧设备，采用了具有换相失败免疫能力的新型可控换相换流阀，并引入了全国产化芯片的直流控制保护系统，解决了核心技术瓶颈。改造后的工程将继续每年为上海提供55亿度清洁电力，满足120万户家庭的年用电需求。	自媒体	1
41	±525kV/2000MW柔性直流输电换流阀技术取得重大突破	**总结：**Saturnose公司计划成为首个商业化铝离子固态电池的公司，预计明年推出其增强型铝离子电池（EaI）。这款电池的能量密度每升超过1500瓦特小时，每公斤超过600瓦特小时。固态铝离子电池的15千瓦电池组重565公斤，可提供1200公里续航，并能持续至少2万次充放电循环，相较锂离子电池的5000次循环更具优势。此外，EaI电池使用混合纳米技术和固态电解质，避免了钴、镍及锂离子的热失控问题，且成本比锂离子电池低50%。该技术已得到沙特达纳风险基金的资助，经过多年隐秘研发，现阶段正在测试中。	自媒体	1
42	武汉－南昌特高压工程完成跨越±800千伏锦苏线架线施工	12月16日，由国电南自、华电浙江新能和中国电科联合研发的国内首套嵌入式全栈国产化控制系统在华电弁山风场成功投运。这一系统基于IPC技术的SA92C控制器平台，搭载中国电科的锐华ReWorks安全可信嵌入式操作系统和国产处理器，实现了从SOC芯片到控制逻辑的全栈自主可控。相比上一代产品，新系统在性能指标上有显著提升，并首次将军工级安全操作系统应用于风电主控系统，打破了国外垄断。未来，中国华电将继续提升风电系统的安全性，推动新能源的智能化转型，并为国家能源安全贡献力量。	自媒体	1
43	国内首套！全栈国产化在华电实现新突破	8月30日，云南电网玉溪峨山供电局成功试运行了10千伏桃园线和10千伏小街线的自愈开关，实现了全覆盖。该局在45条10千伏线路和23个配网故障自愈环上实现了100%全覆盖，标志着南网西部首个县级电网全域自愈模式的建立。自愈功能大大缩短了故障处理时间，从传统的几小时降至数分钟，提升了供电可靠性。2021年峨山县配网基建项目总投资114亿元，旨在打造南网西部的标杆示范区。	自媒体	1
44	世界首款商用铝离子固态电池将投产：不起火、续航1200公里、寿命15年	2023年5月28日下午3:58，华电丰盛汕头电厂1机组顺利完成168小时满负荷试运行，标志着该项目的成功。这一成果是在公司领导的支持和项目经理徐峰的领导下，华电丰盛汕头电厂调试项目部全体成员齐心协力的结果。调试过程中，项目部遇到了锅炉空预器跳闸、汽动给水泵振动大、锅炉爆管等问题，但通过与业监理厂家及施工单位的积极沟通和问题分析，逐步解决了这些困难。项目团队在一个月的调试期内完成了所有涉网试验，各系统运行正常，所有指标达到了优良标准，确保了机组的连续安全稳定运行。最终，1机组的顺利移交为粤能公司调试工作增添了一页新的篇章。	自媒体	1
45	葛洲坝-上海超高压直流输电改造工程投运	11月2日，中国机械工业联合会在北京对525kV2000MW柔性直流输电换流阀进行了技术鉴定。鉴定委员会由包括中国工程院院士韩英铎在内的10多位专家组成，评定该技术方案具有显著的创新突破，预计将大幅推动国内柔性直流输电换流阀及阀控装备制造业的发展，并加快深远海风电的开发。鉴定委员会一致认为该产品技术先进，性能优良，总体技术水平达到国际先进水平。特别是在大功率IGBT温度监测、阀单元供电电源设计和阀控系统链路延时等方面，该产品均处于国际领先水平。此技术方案提供了一个创新的解决方案，有助于我国海上风电柔性直流输电时代的到来。当前，全球能源转型趋势明显，柔性直流输电技术具有广阔的市场前景和经济效益。十四五期间，海上风电将继续高速发展，柔性直流输电技术有助于高质量开发深远海风电，并在微电网互联等领域发挥作用。UPHVDC5252000柔性直流输电换流阀及阀控装置的研制基于明阳集团和广东安朴电力技术有限公司的设计平台，结合了先进的电力电子技术，成功通过了所有型式试验，标志着我国在高压大容量柔性直流输电关键技术上的自主掌握和成套供货能力。柔性直流输电作为新一代技术，相较于传统高压直流输电，其在孤岛供电、城市配电网改造和大规模风电场并网等方面具有显著优势。未来，柔性直流输电技术面临如何实现高电压大功率架空线使用、混合结构直流输电等挑战，需通过进一步研究和试点应用来解决。	自媒体	1
46	国电南瑞承担智能配电网调度技术支持系统研究项目顺利通过验收	2023年6月15日，海南核电有限公司和相关单位在中国第一重型机械股份公司共同见证了全球首堆玲龙一号机组反应堆压力容器与蒸汽发生器的成功组焊和水压试验。这标志着一体化反应堆压力容器的制造质量和安全性达到了先进水平。此次试验包括64道焊缝的射线探伤和四次水压试验，结果均合格，显示出核电设备的高设计和制造标准。此成果为后续工程的顺利推进奠定了坚实基础，并将助力海南自贸港和国家双碳目标的实现。	自媒体	1
47	华电丰盛汕头电厂“上大压小”新建机组调试项目#1机组168小时试运行圆满成功	2023年6月30日，甘肃张掖抽水蓄能电站项目顺利通过长江电力股东大会评审，标志着项目正式进入工程建设阶段。电站位于甘肃张掖市，设计装机容量为140万千瓦，列入国家和省级重点项目。预计2028年首台机组投产，2029年全部机组投产。长江电力在2021年签署投资协议后，快速完成了前期工作并刷新了国内抽水蓄能项目核准用时纪录。目前，项目各项准备工程正在有序推进，力争年底实现主厂房工程开工。项目将探索西北地区抽蓄新能源协同发展模式，推动公司首个新能源一体化清洁能源基地建设。	自媒体	1
48	3000吨/日！上海海滨资源再利用中心项目1号汽轮发电机组并网发电一次成功	2015年7月15日，国网江苏省电力公司主导、国电南瑞和中国电科院参与的国家电网科技项目“智能配电网调度技术支持系统关键技术研究”通过了国网科技部专家组的验收。专家组认为，该系统在配电自动化图模异动管理、全电网模型驱动和层次布局多轨道布线算法等方面达到了国际领先水平。项目于2013年1月立项，旨在规范智能配电网调度技术支持系统设计和开发，制定相关标准。国电南瑞配电农电分公司负责了四个子项的研究开发和试点工程实施，攻克了12项技术难点，形成了12项关键技术和8项创新点。项目成果包括10篇论文、12项发明专利申请和3项软件著作权申请，并在苏州市供电局进行了试点应用。	自媒体	1
